wallet,score,n_deposit,n_borrow,n_repay,n_liquid,amt_deposit,amt_borrow,amt_repay,active_days,borrow_to_deposit_ratio,repayment_ratio,liquidation_rate
0x00000000001accfa9cef68cf5371a23025b6d4b6,1000,1,0,0,0,1987.6636548592714,0.0,0.0,1,0.0,0.0,0.0
0x000000000051d07a4fb3bd10121a343d85818da6,1000,1,0,0,0,285694480361492.7,0.0,0.0,1,0.0,0.0,0.0
0x000000000096026fb41fc39f9875d164bd82e2dc,1000,2,0,0,0,5152310624.158186,0.0,0.0,7,0.0,0.0,0.0
0x0000000000e189dd664b9ab08a33c4839953852c,800,0,0,0,0,0.0,0.0,0.0,129,0.0,0.0,0.0
0x0000000002032370b971dabd36d72f3e5a7bf1ee,1000,250,15,4,0,2.0657733084285235e+17,6.029762086214079e+16,70150.26379074076,132,0.2918888564206033,1.1634001937012771e-12,0.0
0x000000000a38444e0a6e37d3b630d7e855a7cb13,1000,7,8,5,0,1.8390665686010516e+16,11631.431210321323,11640.280239622172,39,6.32463849265074e-13,1.0006747539838348,0.0
0x000000003853fcedcd0355fec98ca3192833f00b,1000,8,0,0,0,76376315604.972,0.0,0.0,7,0.0,0.0,0.0
0x000000003ce0cf2c037493b1dc087204bd7f713e,1000,309,30,16,0,4.585861982762903e+17,1.324157609026383e+17,339812873060944.7,123,0.28874781099029084,0.0025662569979928583,0.0
0x000000007858e6f2668e1e06111cfa24403a5466,1000,1,0,0,0,142160666481.45407,0.0,0.0,1,0.0,0.0,0.0
0x00000001a0f57e850c9db68b4a9bc34677437c5c,751,1,0,0,0,1.7666525037857388,0.0,0.0,1,0.0,0.0,0.0
0x0000000506063a51c6ce59906d8c40f7d7fe92a7,1000,26,24,9,0,7.999916941682949e+17,5.975019617796154e+17,5.97568679828446e+17,30,0.7468852066030556,1.000111661639791,0.0
